iter,coal,gas,nuclear,oil,Q,LB,UB,gap,cut_type
1,0.0,0.0,0.0,0.0,8.98936757990197e6,0.0,8.98936757990197e6,8.98936757990197e6,optimality
2,0.0,0.0,0.0,10701.628071311869,1.5055235422522416e6,21403.256142623737,1.5269267983948654e6,1.5055235422522416e6,optimality
3,0.0,0.0,0.0,21168.601269969808,1.438298812784315e6,42337.202539939615,1.4806360153242548e6,1.438298812784315e6,optimality
4,0.0,17978.73515980394,0.0,0.0,719149.4063921575,89893.6757990197,809043.0821911772,719149.4063921575,optimality
5,13075.443752584684,0.0,0.0,0.0,224734.18949754926,209207.10004135495,433941.2895389042,224734.18949754926,optimality
6,0.0,4.26208228333614e-12,8989.36757990197,2179.6324200980234,117131.0930808394,350449.9166664219,409150.1204778985,58700.20381147659,optimality
7,0.0,918.2389024805246,8989.367579901971,750.6777851832975,177276.62843689387,352183.2019089951,409150.1204778985,56966.918568903406,optimality
8,0.0,918.2389024805238,8989.367579901971,1576.938638454515,103817.51623845226,353835.7236155375,399222.350584627,45386.6269690895,optimality
9,0.0,0.0,10064.16124798203,1104.83875201797,87470.74345300182,362810.0438493426,399222.350584627,36412.306735284394,optimality
10,1987.8271380791928,1664.6625570821102,7516.5103048387,0.0,102956.38315974729,366335.6256075494,383613.25990926335,17277.63430171396,optimality
11,6460.500999460585,0.0,3158.410243135958,1550.0887574034548,202136.13120614714,373840.921286061,383613.25990926335,9772.338623202348,optimality
12,4111.276794034278,3096.4425287478557,4628.171481827338,0.0,171129.55975391908,382222.70757272554,383613.25990926335,1390.552336537803,optimality
13,1917.9999999999882,2165.0000000000014,7086.000000000012,0.0,114032.74429179227,382297.7442917925,382297.74429179245,-5.820766091346741e-11,optimality
